Customer_ID,Date,Customer_Type,Group_Size,Attire,Seat_Type,Activity,Check_In,Check_Out,Stay_Duration_Min,Spend_Amount_CAD
C001,2026-03-02,Family,4,Casual,Table for 4,Conversation,7:50:00,8:20:00,30,32.54
C002,2026-03-02,Adult,2,Casual,Window Seat,Laptop,10:29:00,13:29:00,180,13.27
C003,2026-03-02,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,10:40:00,13:03:00,143,6.97
C004,2026-03-02,University Student,1,Casual,Window Seat,Laptop,10:57:00,13:26:00,149,5.32
C005,2026-03-02,Family,4,Casual,Big Round Table,Conversation,11:29:00,12:09:00,40,25.15
C006,2026-03-02,Teenagers,1,Casual,Table with 2 Chairs (Middle),Phone Browsing,12:03:00,12:18:00,15,7.49
C007,2026-03-02,Family,3,Casual,Table for 4,Conversation,14:16:00,14:50:00,34,24.08
C008,2026-03-03,Adult,1,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,7:36:00,7:58:00,22,8.63
C009,2026-03-03,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,8:01:00,10:22:00,141,8.01
C010,2026-03-03,Adult,1,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,9:55:00,10:30:00,35,13.99
C011,2026-03-03,Teenagers,1,Casual,Window Seat,Phone Browsing,10:30:00,11:10:00,40,7.09
C012,2026-03-03,Seniors,1,Casual,Window Seat,Reading,12:23:00,12:57:00,34,9.43
C013,2026-03-03,University Student,1,Casual,Window Seat,Laptop,12:36:00,15:00:00,144,4.26
C014,2026-03-03,University Student,1,Casual,Window Seat,Laptop,14:32:00,16:34:00,122,7.97
C015,2026-03-04,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,7:45:00,9:36:00,111,7.61
C016,2026-03-04,Family,3,Casual,Table for 4,Conversation,10:11:00,10:50:00,39,29.92
C017,2026-03-04,Seniors,2,Casual,Table for 4,Reading,12:21:00,12:52:00,31,8.73
C018,2026-03-04,University Student,1,Casual,Window Seat,Laptop,13:42:00,16:05:00,143,5.88
C019,2026-03-04,University Student,1,Business Casual,Window Seat,Laptop,13:59:00,15:24:00,85,3.85
C020,2026-03-04,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,15:07:00,17:33:00,146,12.02
C021,2026-03-04,Seniors,2,Casual,Table with 2 Chairs (Middle),Spacing Out,15:24:00,16:17:00,53,8.02
C022,2026-03-05,Children,1,Casual,Table with 2 Chairs (Middle),Spacing Out,7:00:00,7:11:00,11,5.2
C023,2026-03-05,Adult,1,Formal Business,Table with 2 Chairs (Middle),Conversation,8:55:00,9:48:00,53,11.95
C024,2026-03-05,Children,1,Casual,Window Seat,Spacing Out,9:22:00,9:28:00,6,3.06
C025,2026-03-05,Adult,2,Business Casual,Table with 2 Chairs (Middle),Laptop,9:27:00,11:48:00,141,12.46
C026,2026-03-05,Children,1,Casual,Table with 2 Chairs (Middle),Phone Browsing,9:55:00,10:05:00,10,3.09
C027,2026-03-05,Teenagers,2,Casual,Table with 2 Chairs (Middle),Conversation,11:11:00,11:36:00,25,18.84
C028,2026-03-05,Family,4,Casual,Table for 4,Conversation,15:29:00,16:04:00,35,32.95
C029,2026-03-06,Adult,1,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,8:09:00,8:27:00,18,10.49
C030,2026-03-06,University Student,1,Business Casual,Window Seat,Laptop,8:58:00,10:55:00,117,7.34
C031,2026-03-06,Adult,2,Casual,Window Seat,Laptop,10:40:00,12:54:00,134,6.33
C032,2026-03-06,University Student,1,Business Casual,Window Seat,Laptop,11:58:00,13:51:00,113,6.05
C033,2026-03-06,Teenagers,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,13:06:00,13:35:00,29,23.04
C034,2026-03-06,Adult,1,Formal Business,Window Seat,Laptop,13:27:00,15:16:00,109,6.15
C035,2026-03-06,University Student,1,Casual,Window Seat,Reading,14:30:00,15:46:00,76,8.48
C036,2026-03-09,University Student,1,Casual,Window Seat,Laptop,11:14:00,13:45:00,151,6.28
C037,2026-03-09,Adult,1,Formal Business,Window Seat,Conversation,12:11:00,12:20:00,9,4.89
C038,2026-03-09,Adult,2,Formal Business,Window Seat,Laptop,12:19:00,14:33:00,134,5.06
C039,2026-03-09,Seniors,1,Casual,Table with 2 Chairs (Middle),Conversation,12:23:00,13:50:00,87,9.57
C040,2026-03-09,University Student,1,Casual,Table with 2 Chairs (Middle),Reading,13:08:00,14:03:00,55,6.93
C041,2026-03-09,University Student,1,Casual,Window Seat,Sleeping,14:58:00,17:32:00,154,5.29
C042,2026-03-09,Family,3,Casual,Table for 4,Conversation,15:23:00,15:59:00,36,27.62
C043,2026-03-10,Seniors,2,Casual,Window Seat,Reading,8:21:00,9:23:00,62,5.3
C044,2026-03-10,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,9:12:00,12:05:00,173,12.76
C045,2026-03-10,Adult,1,Casual,Window Seat,Phone Browsing,9:23:00,10:17:00,54,9.1
C046,2026-03-10,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,12:27:00,15:27:00,180,7
C047,2026-03-10,Adult,1,Business Casual,Window Seat,Laptop,13:57:00,16:22:00,145,8.38
C048,2026-03-10,Family,4,Casual,Big Round Table,Conversation,14:08:00,14:41:00,33,37.65
C049,2026-03-10,University Student,1,Casual,Window Seat,Laptop,14:50:00,17:06:00,136,4.98
C050,2026-03-11,Adult,1,Formal Business,Table with 2 Chairs (Middle),Conversation,8:51:00,9:02:00,11,10.1
C051,2026-03-11,University Student,1,Casual,Window Seat,Laptop,9:34:00,12:21:00,167,4.71
C052,2026-03-11,Adult,1,Business Casual,Window Seat,Laptop,10:04:00,11:36:00,92,8.16
C053,2026-03-11,Children,1,Casual,Table with 2 Chairs (Middle),Spacing Out,10:47:00,10:53:00,6,3.96
C054,2026-03-11,Teenagers,2,Casual,Window Seat,Phone Browsing,14:11:00,14:49:00,38,23.5
C055,2026-03-11,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,14:33:00,16:17:00,104,10.62
C056,2026-03-11,Seniors,2,Casual,Window Seat,Reading,15:14:00,16:24:00,70,4.34
C057,2026-03-12,Teenagers,1,Casual,Table with 2 Chairs (Middle),Conversation,7:23:00,7:50:00,27,7.76
C058,2026-03-12,Family,3,Casual,Table for 4,Conversation,7:50:00,8:49:00,59,32.33
C059,2026-03-12,Teenagers,2,Casual,Window Seat,Phone Browsing,9:48:00,10:11:00,23,20.62
C060,2026-03-12,Adult,1,Formal Business,Table with 2 Chairs (Middle),Phone Browsing,11:45:00,12:12:00,27,9.27
C061,2026-03-12,Adult,1,Business Casual,Window Seat,Laptop,12:10:00,14:17:00,127,8.41
C062,2026-03-12,Adult,1,Casual,Table with 2 Chairs (Middle),Laptop,13:14:00,15:32:00,138,10.76
C063,2026-03-12,Adult,1,Business Casual,Table for 4,Phone Browsing,13:33:00,13:52:00,19,7.21
C064,2026-03-13,University Student,1,Casual,Table with 2 Chairs (Middle),Reading,7:06:00,9:07:00,121,4.76
C065,2026-03-13,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,10:17:00,12:30:00,133,7.3
C066,2026-03-13,University Student,1,Casual,Window Seat,Laptop,10:26:00,12:40:00,134,6.73
C067,2026-03-13,Children,1,Casual,Table with 2 Chairs (Middle),Spacing Out,11:40:00,11:56:00,16,4.3
C068,2026-03-13,Family,4,Casual,Table for 4,Conversation,13:01:00,13:29:00,28,28.66
C069,2026-03-13,Adult,1,Formal Business,Window Seat,Laptop,13:23:00,15:50:00,147,13.92
C070,2026-03-13,Adult,1,Business Casual,Window Seat,Conversation,13:55:00,14:18:00,23,7.15
C071,2026-03-16,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,7:02:00,9:13:00,131,5.27
C072,2026-03-16,Teenagers,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,7:39:00,8:07:00,28,16.04
C073,2026-03-16,University Student,1,Business Casual,Window Seat,Phone Browsing,8:36:00,9:58:00,82,4.56
C074,2026-03-16,Adult,1,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,8:49:00,9:30:00,41,11.85
C075,2026-03-16,Seniors,2,Casual,Window Seat,Conversation,11:34:00,12:38:00,64,7.64
C076,2026-03-16,Adult,1,Business Casual,Window Seat,Phone Browsing,13:11:00,13:57:00,46,11.6
C077,2026-03-16,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,14:27:00,16:51:00,144,6.86
C078,2026-03-17,Adult,1,Casual,Table for 4,Conversation,7:17:00,8:11:00,54,11.14
C079,2026-03-17,Teenagers,1,Casual,Table with 2 Chairs (Middle),Conversation,8:38:00,9:06:00,28,7.11
C080,2026-03-17,Family,4,Casual,Table for 4,Conversation,9:00:00,9:33:00,33,27.06
C081,2026-03-17,University Student,1,Casual,Window Seat,Laptop,9:12:00,11:29:00,137,7.11
C082,2026-03-17,University Student,1,Casual,Window Seat,Laptop,11:23:00,13:22:00,119,6.18
C083,2026-03-17,Teenagers,3,Casual,Table for 4,Spacing Out,11:59:00,12:28:00,29,26.15
C084,2026-03-17,Adult,1,Business Casual,Window Seat,Conversation,12:57:00,13:36:00,39,6.06
C085,2026-03-18,Seniors,1,Casual,Table with 2 Chairs (Middle),Conversation,8:08:00,8:46:00,38,6.59
C086,2026-03-18,Seniors,2,Casual,Table with 2 Chairs (Middle),Conversation,10:02:00,10:35:00,33,6.1
C087,2026-03-18,Teenagers,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,10:11:00,10:34:00,23,22.8
